trade_id,date,team,direction,asset_type,player_name,player_age,player_position,pick_year,pick_round,pick_condition,cash,cap_space,notes
1,2016-06-29,Detroit Pistons,Incoming,Cap Space,,,,,,,,+$0.00M CAP SPACE,
1,2016-06-29,Detroit Pistons,Incoming,Pick,,,,2019,2,,,
1,2016-06-29,Orlando Magic,Outgoing,Cap Space,,,,,,,,-$0.00M CAP SPACE,
1,2016-06-29,Orlando Magic,Incoming,Player,Jodie Meeks,28,SG,,,,,,"Salary: $6"
2,2016-06-24,Phoenix Suns,Incoming,Player,Marquese Chriss,18,SF,,,,,,
2,2016-06-24,Sacramento Kings,Incoming,Player,Bogdan Bogdanovic,23,SG,,,,,,
2,2016-06-24,Sacramento Kings,Incoming,Player,Georgios Papagiannis,18,C,,,,,,
2,2016-06-24,Sacramento Kings,Incoming,Player,Skal Labissiere,20,PF,,,,,,
2,2016-06-24,Sacramento Kings,Incoming,Pick,,,,2020,2,,,
3,2016-06-24,Orlando Magic,Incoming,Cap Space,,,,,,,,+$2.45M CAP SPACE,
3,2016-06-24,Orlando Magic,Incoming,Player,Serge Ibaka,26,C,,,,,,"Salary: $12,500,000"
3,2016-06-24,Oklahoma City Thunder,Outgoing,Cap Space,,,,,,,,-$2.45M CAP SPACE,
3,2016-06-24,Oklahoma City Thunder,Incoming,Player,Ersan Ilyasova,29,PF,,,,,,"Salary: $8,400,000"
3,2016-06-24,Oklahoma City Thunder,Incoming,Player,Victor Oladipo,24,SG,,,,,,"Salary: $6,552,960"
3,2016-06-24,Oklahoma City Thunder,Incoming,Player,Domantas Sabonis,20,PF,,,,,,
4,2016-06-24,Boston Celtics,Incoming,Pick,,,,2019,1,,,
4,2016-06-24,Memphis Grizzlies,Incoming,Player,Deyonta Davis,19,C,,,,,,
4,2016-06-24,Memphis Grizzlies,Incoming,Player,Rade Zagorac,20,SF,,,,,,
5,2016-06-24,LA Clippers,Incoming,Player,David Michineau,22,PG,,,,,,
5,2016-06-24,LA Clippers,Incoming,Player,Diamond Stone,19,C,,,,,,
5,2016-06-24,New Orleans Pelicans,Incoming,Player,Cheick Diallo,19,PF,,,,,,
6,2016-06-24,Golden State Warriors,Incoming,Player,Patrick McCaw,20,SG,,,,,,
6,2016-06-24,Milwaukee Bucks,Incoming,Cash,,,,,,,,$2.4 Million,,
7,2016-06-24,Denver Nuggets,Incoming,Cash,,,,,,,,Cash Considerations,,
7,2016-06-24,Oklahoma City Thunder,Incoming,Player,Daniel Hamilton,20,SG,,,,,,
8,2016-06-24,Orlando Magic,Incoming,Cash,,,,,,,,$1.2 Million,,
8,2016-06-24,Orlando Magic,Incoming,Pick,,,,2019,2,,,
8,2016-06-24,Portland Trail Blazers,Incoming,Player,Jake Layman,22,SF,,,,,,
9,2016-06-24,Utah Jazz,Incoming,Player,Marcus Paige,22,PG,,,,,,
9,2016-06-24,Utah Jazz,Incoming,Cash,,,,,,,,Cash Considerations,,
9,2016-06-24,Brooklyn Nets,Incoming,Player,Isaiah Whitehead,21,PG,,,,,,
10,2016-06-24,Cleveland Cavaliers,Incoming,Player,Kay Felder,21,PG,,,,,,
11,2016-06-22,Chicago Bulls,Outgoing,Cap Space,,,,,,,,-$0.58M CAP SPACE,
11,2016-06-22,Chicago Bulls,Incoming,Player,Robin Lopez,28,C,,,,,,"Salary: $12,650,000"
11,2016-06-22,Chicago Bulls,Incoming,Player,Jose Calderon,34,PG,,,,,,"Salary: $7,402,812"
11,2016-06-22,Chicago Bulls,Incoming,Player,Jerian Grant,23,PG,,,,,,"Salary: $1,572,360"
11,2016-06-22,New York Knicks,Incoming,Cap Space,,,,,,,,+$0.58M CAP SPACE,
11,2016-06-22,New York Knicks,Incoming,Player,Derrick Rose,27,PG,,,,,,"Salary: $20,093,064"
11,2016-06-22,New York Knicks,Incoming,Player,Justin Holiday,27,SG,,,,,,"Salary: $947,276"
11,2016-06-22,New York Knicks,Incoming,Pick,,,,2017,2,,,
12,2016-06-17,Chicago Bulls,Incoming,Player,Spencer Dinwiddie,23,PG,,,,,,"Salary: $980,431"
12,2016-06-17,Detroit Pistons,Incoming,Player,Cameron Bairstow,25,PF,,,,,,"Salary: $980,431"
13,2016-02-18,Phoenix Suns,Incoming,Cap Space,,,,,,,,+$1.56M CAP SPACE,
13,2016-02-18,Phoenix Suns,Incoming,Player,Kris Humphries,31,PF,,,,,,"Salary: $4,440,000"
13,2016-02-18,Phoenix Suns,Incoming,Player,DeJuan Blair,26,C,,,,,,"Salary: $2,000,000"
13,2016-02-18,Phoenix Suns,Incoming,Pick,,,,2016,1,,,
13,2016-02-18,Washington Wizards,Outgoing,Cap Space,,,,,,,,-$1.56M CAP SPACE,
13,2016-02-18,Washington Wizards,Incoming,Player,Markieff Morris,26,PF,,,,,,"Salary: $8,000,000"
14,2016-02-18,Denver Nuggets,Outgoing,Cap Space,,,,,,,,-$3.62M CAP SPACE,
14,2016-02-18,Denver Nuggets,Incoming,Player,Steve Novak,32,SF,,,,,,"Salary: $3,750,000"
14,2016-02-18,Denver Nuggets,Incoming,Player,D.J. Augustin,28,PG,,,,,,"Salary: $3,000,000"
14,2016-02-18,Denver Nuggets,Incoming,Cash,,,,,,,,$1,169,559,,
14,2016-02-18,Denver Nuggets,Incoming,Pick,,,,2016,2,,,
14,2016-02-18,Denver Nuggets,Incoming,Pick,,,,2016,2,,,
14,2016-02-18,Oklahoma City Thunder,Incoming,Cap Space,,,,,,,,+$3.62M CAP SPACE,
14,2016-02-18,Oklahoma City Thunder,Incoming,Player,Randy Foye,32,SG,,,,,,"Salary: $3,135,000"
15,2016-02-18,LA Clippers,Outgoing,Cap Space,,,,,,,,-$0.20M CAP SPACE,
15,2016-02-18,LA Clippers,Incoming,Player,Jeff Green,29,PF,,,,,,"Salary: $9,200,000"
15,2016-02-18,Memphis Grizzlies,Incoming,Cap Space,,,,,,,,+$0.20M CAP SPACE,
15,2016-02-18,Memphis Grizzlies,Incoming,Player,Lance Stephenson,25,SG,,,,,,"Salary: $9,000,000"
15,2016-02-18,Memphis Grizzlies,Incoming,Pick,,,,2019,1,,,
16,2016-02-18,Chicago Bulls,Incoming,Cap Space,,,,,,,,+$1.91M CAP SPACE,
16,2016-02-18,Chicago Bulls,Incoming,Player,Justin Holiday,26,SG,,,,,,"Salary: $947,276"
16,2016-02-18,Chicago Bulls,Incoming,Pick,,,,2018,2,2nd round pick,,
16,2016-02-18,Chicago Bulls,Outgoing,Player,Kirk Hinrich,,,,,,,"Salary: $2,854,940"
16,2016-02-18,Atlanta Hawks,Outgoing,Cap Space,,,,,,,,-$1.91M CAP SPACE,
16,2016-02-18,Atlanta Hawks,Incoming,Player,Kirk Hinrich,35,SG,,,,,,"Salary: $2,854,940"
16,2016-02-18,Atlanta Hawks,Outgoing,Player,Justin Holiday,,,,,,,
16,2016-02-18,Atlanta Hawks,Outgoing,Player,Shelvin Mack,,,,,,,
16,2016-02-18,Utah Jazz,Incoming,Player,Shelvin Mack,25,PG,,,,,,
16,2016-02-18,Utah Jazz,Outgoing,Pick,,,,2018,2,,,
17,2016-02-18,Miami Heat,Incoming,Cap Space,,,,,,,,+$0.85M CAP SPACE,
17,2016-02-18,Miami Heat,Incoming,Other,TBD,,,,,,,,,TBD
17,2016-02-18,New Orleans Pelicans,Outgoing,Cap Space,,,,,,,,-$0.85M CAP SPACE,
17,2016-02-18,New Orleans Pelicans,Incoming,Player,Jarnell Stokes,22,PF,,,,,,"Salary: $845,059"
17,2016-02-18,New Orleans Pelicans,Incoming,Cash,,,,,,,,$700k+,,
18,2016-02-18,Cleveland Cavaliers,Incoming,Cap Space,,,,,,,,+$9.64M CAP SPACE,
18,2016-02-18,Cleveland Cavaliers,Incoming,Pick,,,,2020,2,,,
18,2016-02-18,Portland Trail Blazers,Outgoing,Cap Space,,,,,,,,-$9.64M CAP SPACE,
18,2016-02-18,Portland Trail Blazers,Incoming,Player,Anderson Varejao,33,PF,,,,,,"Salary: $9,638,554"
18,2016-02-18,Portland Trail Blazers,Incoming,Pick,,,,2018,1,,,
19,2016-02-18,Cleveland Cavaliers,Outgoing,Cap Space,,,,,,,,-$7.21M CAP SPACE,
19,2016-02-18,Cleveland Cavaliers,Incoming,Player,Channing Frye,32,PF,,,,,,"Salary: $8,193,029"
19,2016-02-18,Orlando Magic,Incoming,Cap Space,,,,,,,,+$7.21M CAP SPACE,
19,2016-02-18,Orlando Magic,Incoming,Player,Jared Cunningham,24,SG,,,,,,"Salary: $981,348"
19,2016-02-18,Orlando Magic,Incoming,Pick,,,,2020,2,,,
20,2016-02-18,Miami Heat,Incoming,Cap Space,,,,,,,,+$2.85M CAP SPACE,
20,2016-02-18,Miami Heat,Incoming,Cash,,,,,,,,$75k,,
20,2016-02-18,Portland Trail Blazers,Outgoing,Cap Space,,,,,,,,-$2.85M CAP SPACE,
20,2016-02-18,Portland Trail Blazers,Incoming,Player,Brian Roberts,30,PG,,,,,,"Salary: $2,854,940"
20,2016-02-18,Portland Trail Blazers,Incoming,Pick,,,,,,2nd Round Pick,,
21,2016-02-16,Memphis Grizzlies,Outgoing,Cap Space,,,,,,,,-$0.53M CAP SPACE,
21,2016-02-16,Memphis Grizzlies,Incoming,Player,Chris Andersen,37,PF,,,,,,"Salary: $5,000,000"
21,2016-02-16,Memphis Grizzlies,Incoming,Player,P.J. Hairston,23,SG,,,,,,"Salary: $1,201,440"
21,2016-02-16,Memphis Grizzlies,Incoming,Pick,,,,2017,2,top-40 protected,,
21,2016-02-16,Memphis Grizzlies,Incoming,Pick,,,,2018,2,,,
21,2016-02-16,Memphis Grizzlies,Incoming,Pick,,,,2019,2,top-55 protected,,
21,2016-02-16,Memphis Grizzlies,Incoming,Pick,,,,2019,2,,,
21,2016-02-16,Memphis Grizzlies,Outgoing,Player,Courtney Lee,,,,,,,"Salary: $5,675,000"
21,2016-02-16,Miami Heat,Incoming,Cap Space,,,,,,,,+$2.15M CAP SPACE,
21,2016-02-16,Miami Heat,Incoming,Player,Brian Roberts,30,PG,,,,,,"Salary: $2,854,940"
21,2016-02-16,Miami Heat,Outgoing,Player,Chris Andersen,,,,,,,
21,2016-02-16,Miami Heat,Outgoing,Pick,,,,2017,2,,,
21,2016-02-16,Miami Heat,Outgoing,Pick,,,,2019,2,,,
21,2016-02-16,Charlotte Hornets,Outgoing,Cap Space,,,,,,,,-$1.62M CAP SPACE,
21,2016-02-16,Charlotte Hornets,Incoming,Player,Courtney Lee,30,SG,,,,,,"Salary: $5,675,000"
21,2016-02-16,Charlotte Hornets,Incoming,Cash,,,,,,,,$542,714,,
21,2016-02-16,Charlotte Hornets,Outgoing,Player,P.J. Hairston,,,,,,,
21,2016-02-16,Charlotte Hornets,Outgoing,Pick,,,,2018,2,,,
21,2016-02-16,Charlotte Hornets,Outgoing,Pick,,,,2019,2,,,
21,2016-02-16,Charlotte Hornets,Outgoing,Player,Brian Roberts,,,,,,,
22,2016-02-16,Detroit Pistons,Incoming,Cap Space,,,,,,,,+$0.24M CAP SPACE,
22,2016-02-16,Detroit Pistons,Incoming,Player,Tobias Harris,23,PF,,,,,,"Salary: $16,000,000"
22,2016-02-16,Orlando Magic,Outgoing,Cap Space,,,,,,,,-$0.24M CAP SPACE,
22,2016-02-16,Orlando Magic,Incoming,Player,Brandon Jennings,26,PG,,,,,,"Salary: $8,344,497"
22,2016-02-16,Orlando Magic,Incoming,Player,Ersan Ilyasova,28,PF,,,,,,"Salary: $7,900,000"
23,2016-01-22,Houston Rockets,Incoming,Player,Josh Smith,30,SF,,,,,,
23,2016-01-22,Houston Rockets,Incoming,Cash,,,,,,,,$456,921,,
23,2016-01-22,LA Clippers,Incoming,Player,Maaty Leunen,30,PF,,,,,,
23,2016-01-22,LA Clippers,Incoming,Player,Sergei Lishouk,,,,,,,
