trade_id,date,team,direction,asset_type,player_name,player_age,player_position,pick_year,pick_round,pick_condition,cash,cap_space,notes
1,2022-06-24,Memphis Grizzlies,Outgoing,Cap Space,,,,,,,,-1190000,-$1.19M CAP SPACE
1,2022-06-24,Memphis Grizzlies,Incoming,Player,Danny Green,35,SF,,,,,,"Salary: $10,000,000"
1,2022-06-24,Memphis Grizzlies,Incoming,Player,David Roddy,21,PF,,,,,,
1,2022-06-24,Philadelphia 76ers,Incoming,Cap Space,,,,,,,,1190000,+$1.19M CAP SPACE
1,2022-06-24,Philadelphia 76ers,Incoming,Player,De'Anthony Melton,24,SG,,,,,,"Salary: $8,805,976"
2,2022-06-24,Houston Rockets,Incoming,Player,TyTy Washington Jr.,20,PG,,,,,,
2,2022-06-24,Houston Rockets,Incoming,Pick,,,,2025,2,,,
2,2022-06-24,Houston Rockets,Incoming,Pick,,,,2027,2,,,
2,2022-06-24,Minnesota Timberwolves,Incoming,Player,Wendall Moore Jr.,20,SG,,,,,,
3,2022-06-24,Memphis Grizzlies,Incoming,Player,Jake LaRavia,20,PF,,,,,,
3,2022-06-24,Minnesota Timberwolves,Incoming,Player,Walker Kessler,20,C,,,,,,
3,2022-06-24,Minnesota Timberwolves,Incoming,Player,TyTy Washington Jr.,20,PG,,,,,,
3,2022-06-24,Minnesota Timberwolves,Incoming,Pick,,,,2023,2,,,
4,2022-06-24,Dallas Mavericks,Incoming,Player,Jaden Hardy,19,SG,,,,,,
4,2022-06-24,Sacramento Kings,Incoming,Pick,,,,2024,2,DAL pick,,
4,2022-06-24,Sacramento Kings,Incoming,Pick,,,,2028,2,DAL pick,,
5,2022-06-24,Atlanta Hawks,Incoming,Cash,,,,,,2000000,,"$2 Million"
5,2022-06-24,Atlanta Hawks,Incoming,Player,Tyrese Martin,23,SF,,,,,,
5,2022-06-24,Golden State Warriors,Incoming,Player,Ryan Rollins,19,SG,,,,,,
6,2022-06-24,Dallas Mavericks,Incoming,Cap Space,,,,,,,,200000,+$0.20M CAP SPACE
6,2022-06-24,Dallas Mavericks,Incoming,Player,Christian Wood,26,C,,,,,,"Salary: $14,317,459"
6,2022-06-24,Houston Rockets,Outgoing,Cap Space,,,,,,,,-200000,-$0.20M CAP SPACE
6,2022-06-24,Houston Rockets,Incoming,Player,Trey Burke,29,PG,,,,,,"Salary: $3,547,500"
6,2022-06-24,Houston Rockets,Incoming,Player,Boban Marjanovic,33,C,,,,,,"Salary: $3,500,000"
6,2022-06-24,Houston Rockets,Incoming,Player,Sterling Brown,27,SG,,,,,,"Salary: $3,000,000"
6,2022-06-24,Houston Rockets,Incoming,Player,Wendall Moore Jr.,20,SG,,,,,,"Salary: $2,275,680"
6,2022-06-24,Houston Rockets,Incoming,Player,Marquese Chriss,24,SF,,,,,,"Salary: $2,193,920"
7,2022-06-24,Minnesota Timberwolves,Incoming,Player,Josh Minott,19,SF,,,,,,
7,2022-06-24,Minnesota Timberwolves,Incoming,Pick,,,,2023,2,NYK pick,,
7,2022-06-24,Charlotte Hornets,Incoming,Player,Bryce McGowens,19,SG,,,,,,
8,2022-06-24,Memphis Grizzlies,Incoming,Player,Kennedy Chandler,19,PG,,,,,,
8,2022-06-24,San Antonio Spurs,Incoming,Cash,,,,,,1000000,,$1 Million
8,2022-06-24,San Antonio Spurs,Incoming,Pick,,,,2024,2,LAL pick,,
9,2022-06-24,Indiana Pacers,Incoming,Cash,,,,,,,,,Cash
9,2022-06-24,Milwaukee Bucks,Incoming,Player,Hugo Besson,21,PG,,,,,,
10,2022-06-23,Denver Nuggets,Incoming,Cap Space,,,,,,,,8200000,+$8.20M CAP SPACE
10,2022-06-23,Denver Nuggets,Incoming,Player,Peyton Watson,19,SG,,,,,,
10,2022-06-23,Denver Nuggets,Incoming,Pick,,,,2022,2,,,
10,2022-06-23,Denver Nuggets,Incoming,Pick,,,,2023,2,,,
10,2022-06-23,Oklahoma City Thunder,Outgoing,Cap Space,,,,,,,,-8200000,-$8.20M CAP SPACE
10,2022-06-23,Oklahoma City Thunder,Incoming,Player,JaMychal Green,32,PF,,,,,,"Salary: $8,200,000"
10,2022-06-23,Oklahoma City Thunder,Incoming,Pick,,,,2027,1,protected,,
11,2022-06-23,Indiana Pacers,Incoming,Player,Kendall Brown,19,SF,,,,,,
11,2022-06-23,Minnesota Timberwolves,Incoming,Cash,,,,,,,,,Cash
11,2022-06-23,Minnesota Timberwolves,Incoming,Pick,,,,2026,2,least favorable of IND/MIA/SAS - right to swap,,
12,2022-06-23,Los Angeles Lakers,Incoming,Pick,,,,2022,2,Max Christie,,,
12,2022-06-23,Orlando Magic,Incoming,Cash,,,,,,2150000,,$2.15 Million
