trade_id,date,team,direction,asset_type,player_name,player_age,player_position,pick_year,pick_round,pick_condition,cash,cap_space,notes
1,2013-06-27,Denver Nuggets,Incoming,Cash,,,,,,,,,Cash
1,2013-06-27,Denver Nuggets,Incoming,Player,Erick Green,22,PG,,,,,,
1,2013-06-27,Utah Jazz,Incoming,Player,Rudy Gobert,21,C,,,,,,
2,2013-06-27,Boston Celtics,Incoming,Player,Kelly Olynyk,22,PF,,,,,,
2,2013-06-27,Dallas Mavericks,Incoming,Player,Lucas Nogueira,20,C,,,,,,
2,2013-06-27,Dallas Mavericks,Incoming,Pick,,,,2014,2,,,
2,2013-06-27,Dallas Mavericks,Incoming,Pick,,,,2014,2,,,
3,2013-06-27,Atlanta Hawks,Incoming,Pick,,,,2015,2,,,
3,2013-06-27,Utah Jazz,Incoming,Player,Raul Neto,21,PG,,,,,,
4,2013-06-27,Minnesota Timberwolves,Incoming,Player,Shabazz Muhammad,20,SG,,,,,,
4,2013-06-27,Minnesota Timberwolves,Incoming,Player,Gorgui Dieng,23,C,,,,,,
4,2013-06-27,Utah Jazz,Incoming,Player,Trey Burke,20,PG,,,,,,
5,2013-06-27,Golden State Warriors,Incoming,Player,Nemanja Nedovic,22,PG,,,,,,
5,2013-06-27,Phoenix Suns,Incoming,Player,Malcolm Lee,23,SG,,,,,,
5,2013-06-27,Phoenix Suns,Incoming,Player,Archie Goodwin,18,SG,,,,,,
6,2013-06-27,Golden State Warriors,Incoming,Cash,,,,,,1000000,,"$1 Million"
6,2013-06-27,Golden State Warriors,Incoming,Player,Archie Goodwin,18,SG,,,,,,
6,2013-06-27,Oklahoma City Thunder,Incoming,Player,Andre Roberson,21,SG,,,,,,
7,2013-06-27,Atlanta Hawks,Incoming,Player,Lucas Nogueira,20,C,,,,,,
7,2013-06-27,Atlanta Hawks,Incoming,Player,Jared Cunningham,22,SG,,,,,,
7,2013-06-27,Atlanta Hawks,Incoming,Player,Mike Muscala,21,C,,,,,,
7,2013-06-27,Dallas Mavericks,Incoming,Player,Shane Larkin,20,PG,,,,,,
8,2013-06-27,Portland Trail Blazers,Incoming,Cash,,,,,,,,,Cash
8,2013-06-27,Oklahoma City Thunder,Incoming,Player,Grant Jerrett,19,PF,,,,,,
9,2013-06-27,Philadelphia 76ers,Incoming,Player,Nate Wolters,22,PG,,,,,,
9,2013-06-27,Philadelphia 76ers,Incoming,Player,Arsalan Kazemi,23,PF,,,,,,
9,2013-06-27,Washington Bullets,Incoming,Player,Glen Rice Jr.,22,SF,,,,,,
10,2013-06-27,Boston Celtics,Incoming,Player,Colton Iverson,23,C,,,,,,
10,2013-06-27,Indiana Pacers,Incoming,Cash,,,,,,,,,Cash
11,2013-06-27,Milwaukee Bucks,Incoming,Player,Nate Wolters,22,PG,,,,,,
11,2013-06-27,Philadelphia 76ers,Incoming,Player,Ricky Ledo,20,SG,,,,,,
11,2013-06-27,Philadelphia 76ers,Incoming,Pick,,,,2014,2,,,
12,2013-06-27,Dallas Mavericks,Incoming,Player,Ricky Ledo,20,SG,,,,,,
12,2013-06-27,Philadelphia 76ers,Incoming,Pick,,,,2014,2,,,
13,2013-06-27,Denver Nuggets,Incoming,Player,Darrell Arthur,25,PF,,,,,,
13,2013-06-27,Denver Nuggets,Incoming,Player,Joffrey Lauvergne,21,PF,,,,,,
13,2013-06-27,Memphis Grizzlies,Incoming,Player,Kosta Koufos,24,C,,,,,,
14,2013-06-27,Cleveland Cavaliers,Incoming,Pick,,,,2014,2,,,
14,2013-06-27,Cleveland Cavaliers,Incoming,Pick,,,,2014,2,,,
14,2013-06-27,Portland Trail Blazers,Incoming,Player,Allen Crabbe,21,SG,,,,,,
15,2013-06-27,Golden State Warriors,Incoming,Player,Andre Roberson,21,SG,,,,,,
15,2013-06-27,Golden State Warriors,Incoming,Player,Malcolm Lee,23,SG,,,,,,
15,2013-06-27,Minnesota Timberwolves,Incoming,Cash,,,,,,1600000,,"$1.6 Million"
15,2013-06-27,Minnesota Timberwolves,Incoming,Pick,,,,2014,2,,,
16,2013-06-27,Atlanta Hawks,Incoming,Pick,,,,,,Future 2nd-round Pick,,
16,2013-06-27,Miami Heat,Incoming,Player,James Ennis,22,SF,,,,,,
17,2013-06-25,Boston Celtics,Incoming,Pick,,,,2015,1,unprotected,,
17,2013-06-25,LA Clippers,Incoming,Other,Doc Rivers,51,COA,,,,,,"Coach"
18,2013-02-21,New York Knicks,Incoming,Pick,,,,2014,2,,,
18,2013-02-21,Oklahoma City Thunder,Incoming,Player,Ronnie Brewer,27,SF,,,,,,
19,2013-02-21,Atlanta Hawks,Incoming,Player,Jeremy Tyler,21,PF,,,,,,
19,2013-02-21,Golden State Warriors,Incoming,Pick,,,,,,Round 2,,
20,2013-02-21,Milwaukee Bucks,Incoming,Player,J.J. Redick,28,SG,,,,,,
20,2013-02-21,Milwaukee Bucks,Incoming,Player,Gustavo Ayon,27,PF,,,,,,
